,film,number,abstract,starring,name,subjects,cinematography,director,gross,producer,language
10,Transporter 2,2409484,"Transporter 2 (French: Le Transporteur 2) is an English-language French 2005 action-thriller film directed by Louis Leterrier. Written by Robert Mark Kamen and co-producer Luc Besson, it is the sequel to The Transporter (2002), as well as the second installment of Transporter trilogy. The film stars Jason Statham, Alessandro Gassman, Amber Valletta, Kate Nauta, François Berléand, Matthew Modine, and Jason Flemyng. Both Statham and Berléand reprise their roles as Frank Martin and Inspector Tarconi, respectively. In the story, Frank chauffeurs a young boy from Miami, Florida, who is soon kidnapped and tries to rescue him. The film was followed by Transporter 3 which was released in 2008.",-Alessandro Gassman-Amber Valletta-François Berléand-Hunter Cleary-Jason Flemyng-Jason Statham-Kate Nauta-Keith David-Matthew Modine-Shannon Briggs,Transporter 2: Original Motion Picture Soundtrack,2000s chase films-2005 action thriller films-2005 films-20th Century Fox films-English-language French films-English-language films-EuropaCorp films-Fictional portrayals of the Miami-Dade Police Department-Films about automobiles-Films about infectious diseases-Films directed by Louis Leterrier-Films produced by Luc Besson-Films set in Miami-Films shot in Miami-Films with screenplays by Luc Besson-Films with screenplays by Robert Mark Kamen-French action thriller films-French films-French sequel films-Transporter (franchise),Mitchell Amundsen,Louis Leterrier,8.91E7,Louis Leterrier,English
11,The Girl in the Spider's Web (film),48465449,"The Girl in the Spider's Web is a 2018 action-thriller film directed by Fede Álvarez and written by Jay Basu, Álvarez, and Steven Knight, and based on the 2015 novel of the same name by David Lagercrantz, which in turn is based on characters in the Millennium book series by Stieg Larsson. The film acts as a sequel to David Fincher's The Girl with the Dragon Tattoo. It stars Claire Foy in the role of Lisbeth Salander and follows Salander as she battles against a mysterious notorious organization, the Spiders, who seek world dominance. Sverrir Gudnason, Lakeith Stanfield, Sylvia Hoeks, and Stephen Merchant also appear in the film.",-Claire Foy-LaKeith Stanfield-Stephen Merchant-Sverrir Gudnason-Sylvia Hoeks,The Girl in the Spider's Web,2018 action thriller films-2018 crime action films-2018 crime thriller films-2018 films-American action thriller films-American crime action films-American crime thriller films-American films-American sequel films-American vigilante films-British action thriller films-British crime action films-British crime thriller films-British films-British sequel films-British vigilante films-Canadian LGBT-related films-Canadian action thriller films-Canadian crime thriller films-Canadian films-Canadian sequel films-Canadian vigilante films-Columbia Pictures films-Dragon Tattoo Stories (film series)-English-language German films-English-language films-Films about domestic violence-Films about terrorism in the United States-Films about the National Security Agency-Films about twin sisters-Films based on Swedish novels-Films directed by Fede Álvarez-Films produced by Amy Pascal-Films produced by Scott Rudin-Films scored by Roque Baños-Films set in Stockholm-Films shot in Berlin-Films shot in Stockholm-Films with screenplays by Fede Álvarez-Films with screenplays by Steven Knight-German action thriller films-German crime action films-German crime thriller films-German films-German sequel films-German vigilante films-Metro-Goldwyn-Mayer films-Millennium (novel series)-Swedish action films-Swedish crime thriller films-Swedish films-Swedish sequel films-Swedish vigilante films-Techno-thriller films,na,Fede Álvarez,3.52E7,Fede Álvarez,English
12,Léon: The Professional,40672,"Léon: The Professional (French: Léon), titled Leon in the UK and Australia (and originally titled The Professional in the US), is a 1994 English-language French action-thriller film written and directed by Luc Besson. It stars Jean Reno, Gary Oldman and features the film debut of Natalie Portman. The plot follows Léon (Reno), a professional hitman, who reluctantly takes in 12-year-old Mathilda (Portman) after her family is murdered by corrupt Drug Enforcement Administration agent Norman Stansfield (Oldman). Léon and Mathilda form an unusual relationship, as she becomes his protégée and learns the hitman's trade.",-Danny Aiello-Gary Oldman-Jean Reno-Natalie Portman,Léon: The Professional,1990s action thriller films-1990s buddy films-1994 films-Cultural depictions of the Mafia-Czech Lion Awards winners (films)-English-language French films-English-language films-Familicide in fiction-Fictional portrayals of the New York City Police Department-Films about contract killing-Films about orphans-Films about the American Mafia-Films directed by Luc Besson-Films scored by Éric Serra-Films set in New Jersey-Films set in New York City-Films shot in New Jersey-Films shot in New York City-Films shot in Paris-French action thriller films-French films-French films about revenge-Gaumont Film Company films-Juvenile sexuality in films,Thierry Arbogast,Luc Besson,na,Luc Besson,English
13,Kaante,1792743,"Kaante (lit. 'Thorns') is a 2002 Indian Hindi-language action-thriller film directed by Sanjay Gupta, written by Milap Zaveri, and starring an ensemble cast including Amitabh Bachchan, Sanjay Dutt, Sunil Shetty, Lucky Ali, Mahesh Manjrekar, Kumar Gaurav, Namrata Singh Gujral, Rati Agnihotri, Rohit Roy, Isha Koppikar and Malaika Arora. Set in Los Angeles, the film follows six Indian men who are detained without evidence by the police. Feeling wronged and vengeful, they team up to plot a bank heist that would leave the Los Angeles Police Department penniless. However, once things go out of hand, they start suspecting each other's identities, resulting in violence and chaos.",Amitabh Bachchan-Isha Koppikar-Kumar Gaurav-Lucky Ali-Mahesh Manjrekar-Malaika Arora-Namrata Singh Gujral-Rati Agnihotri-Rohit Roy-Sanjay Dutt-Sunil Shetty,Kaante,2000s Hindi-language films-2000s heist films-2002 action thriller films-2002 films-Fictional portrayals of the Los Angeles Police Department-Films directed by Sanjay Gupta-Films featuring an item number-Films scored by Anand Raj Anand-Films scored by Gregor Narholz-Films scored by Vishal–Shekhar-Films set in Los Angeles-Films set in the United States-Films shot in Los Angeles-Indian action thriller films-Indian films-Indian heist films-Indian remakes of American films,na,Sanjay Gupta (director),na,Sanjay Gupta (director),http://dbpedia.org/resource/Hindi
14,The Looking Glass War (film),4565187,The Looking Glass War is a 1970 British neo-noir action-thriller film directed by Frank Pierson based on the 1965 novel by John le Carré The Looking Glass War.,Christopher Jones (actor)-Pia Degermark-Ralph Richardson,The Looking Glass War,1970 drama films-1970 films-1970s action thriller films-1970s spy films-1970s thriller drama films-British action thriller films-British films-British spy films-British thriller drama films-Cold War spy films-Columbia Pictures films-English-language films-Films about the KGB-Films about the Secret Intelligence Service-Films based on British novels-Films based on works by John le Carré-Films directed by Frank Pierson-Films set in East Germany-German-language films,na,Frank Pierson,na,Frank Pierson,German
15,The Looking Glass War (film),4565187,The Looking Glass War is a 1970 British neo-noir action-thriller film directed by Frank Pierson based on the 1965 novel by John le Carré The Looking Glass War.,Christopher Jones (actor)-Pia Degermark-Ralph Richardson,The Looking Glass War,1970 drama films-1970 films-1970s action thriller films-1970s spy films-1970s thriller drama films-British action thriller films-British films-British spy films-British thriller drama films-Cold War spy films-Columbia Pictures films-English-language films-Films about the KGB-Films about the Secret Intelligence Service-Films based on British novels-Films based on works by John le Carré-Films directed by Frank Pierson-Films set in East Germany-German-language films,na,Frank Pierson,na,Frank Pierson,English
16,Transporter 2,2409484,"Transporter 2 (French: Le Transporteur 2) is an English-language French 2005 action-thriller film directed by Louis Leterrier. Written by Robert Mark Kamen and co-producer Luc Besson, it is the sequel to The Transporter (2002), as well as the second installment of Transporter trilogy. The film stars Jason Statham, Alessandro Gassman, Amber Valletta, Kate Nauta, François Berléand, Matthew Modine, and Jason Flemyng. Both Statham and Berléand reprise their roles as Frank Martin and Inspector Tarconi, respectively. In the story, Frank chauffeurs a young boy from Miami, Florida, who is soon kidnapped and tries to rescue him. The film was followed by Transporter 3 which was released in 2008.",-Alessandro Gassman-Amber Valletta-François Berléand-Hunter Cleary-Jason Flemyng-Jason Statham-Kate Nauta-Keith David-Matthew Modine-Shannon Briggs,Transporter 2,2000s chase films-2005 action thriller films-2005 films-20th Century Fox films-English-language French films-English-language films-EuropaCorp films-Fictional portrayals of the Miami-Dade Police Department-Films about automobiles-Films about infectious diseases-Films directed by Louis Leterrier-Films produced by Luc Besson-Films set in Miami-Films shot in Miami-Films with screenplays by Luc Besson-Films with screenplays by Robert Mark Kamen-French action thriller films-French films-French sequel films-Transporter (franchise),Mitchell Amundsen,Louis Leterrier,8.91E7,Louis Leterrier,English
17,Into the Blue (2005 film),2184642,"Into the Blue is a 2005 American action-thriller film starring Paul Walker, Jessica Alba, Scott Caan, Ashley Scott, Josh Brolin, and James Frain. The film was directed by John Stockwell and was co-distributed by Metro-Goldwyn-Mayer and Columbia Pictures.",-Ashley Scott-James Frain-Jessica Alba-Josh Brolin-Paul Walker-Scott Caan,Into the Blue,2000s adventure films-2005 films-American action thriller films-American films-Columbia Pictures films-Films directed by John Stockwell-Films featuring underwater diving-Films scored by Paul Haslinger-Films set in the Bahamas-Films set in the Caribbean-Films shot in Florida-Films shot in the Bahamas-Films shot in the Cayman Islands-Freediving-Mandalay Pictures films-Metro-Goldwyn-Mayer films-Treasure hunt films-Underwater action films,Shane Hurlbut,John Stockwell (actor),4.44E7,John Stockwell (actor),English
18,Unknown (2011 film),26717073,"Unknown is a 2011 action-thriller film directed by Jaume Collet-Serra and starring Liam Neeson, Diane Kruger, January Jones, Aidan Quinn, Bruno Ganz, and Frank Langella. The film, produced by Joel Silver, Leonard Goldberg and Andrew Rona, is based on the 2003 French novel by Didier Van Cauwelaert published in English as Out of My Head which was adapted as the film's screenplay by Oliver Butcher and Stephen Cornwell. The narrative centers around a professor who wakes up from a four-day long coma and sets out to prove his identity after no one recognizes him, including his own wife, and another man claims to be him.",-Aidan Quinn-Diane Kruger-Frank Langella-January Jones-Liam Neeson,Unknown,2010s mystery thriller films-2011 action thriller films-2011 films-2011 psychological thriller films-American action thriller films-American chase films-American films-American mystery thriller films-Babelsberg Studio films-British action thriller films-British chase films-British films-British mystery thriller films-Dark Castle Entertainment films-English-language French films-English-language German films-English-language films-Films about altered memories-Films about amnesia-Films about identity theft-Films about murder-Films based on French novels-Films directed by Jaume Collet-Serra-Films produced by Joel Silver-Films scored by John Ottman-Films set in Berlin-Films shot in Berlin-French action thriller films-French films-French mystery thriller films-German-language films-German action thriller films-German films-German mystery thriller films-Thanksgiving in films-Warner Bros. films,na,Jaume Collet-Serra,1.357E8,Jaume Collet-Serra,English
19,Taken 3,38964482,"Taken 3 (sometimes stylized as Tak3n) is a 2014 English-language French action-thriller film directed by Olivier Megaton and written by Luc Besson and Robert Mark Kamen. It is the third and final installment in the Taken trilogy. A co-production between France, Spain and the United States, the film stars Liam Neeson, Forest Whitaker, Maggie Grace and Famke Janssen.",Dougray Scott-Famke Janssen-Forest Whitaker-Leland Orser-Liam Neeson-Maggie Grace-Sam Spruell,Taken 3: Original Motion Picture Soundtrack,2014 action thriller films-2014 films-20th Century Fox films-American action thriller films-American films-American films about revenge-American sequel films-English-language French films-English-language films-EuropaCorp films-Films directed by Olivier Megaton-Films produced by Luc Besson-Films scored by Nathaniel Méchaly-Films set in Afghanistan-Films set in Los Angeles-Films shot in Georgia (U.S. state)-Films shot in Los Angeles-Films with screenplays by Luc Besson-Films with screenplays by Robert Mark Kamen-French action thriller films-French films-French films about revenge-French sequel films-French vigilante films-IMAX films-Spanish action thriller films-Spanish films-Spanish sequel films-TSG Entertainment films-Taken (franchise),na,Olivier Megaton,3.264E8,Olivier Megaton,English
20,Taken 3,38964482,"Taken 3 (sometimes stylized as Tak3n) is a 2014 English-language French action-thriller film directed by Olivier Megaton and written by Luc Besson and Robert Mark Kamen. It is the third and final installment in the Taken trilogy. A co-production between France, Spain and the United States, the film stars Liam Neeson, Forest Whitaker, Maggie Grace and Famke Janssen.",Dougray Scott-Famke Janssen-Forest Whitaker-Leland Orser-Liam Neeson-Maggie Grace-Sam Spruell,Taken 3: Original Motion Picture Soundtrack,2014 action thriller films-2014 films-20th Century Fox films-American action thriller films-Films produced by Luc Besson-French films about revenge-Spanish sequel films,na,Olivier Megaton,3.264E8,Olivier Megaton,Russian
21,Taken 3,38964482,"Taken 3 (sometimes stylized as Tak3n) is a 2014 English-language French action-thriller film directed by Olivier Megaton and written by Luc Besson and Robert Mark Kamen. It is the third and final installment in the Taken trilogy. A co-production between France, Spain and the United States, the film stars Liam Neeson, Forest Whitaker, Maggie Grace and Famke Janssen.",Dougray Scott-Famke Janssen-Forest Whitaker-Leland Orser-Liam Neeson-Maggie Grace-Sam Spruell,Taken 3,2014 action thriller films-2014 films-20th Century Fox films-American action thriller films-American films-American films about revenge-American sequel films-Films produced by Luc Besson-French films about revenge-Spanish sequel films,na,Olivier Megaton,3.264E8,Olivier Megaton,English
22,Taken 3,38964482,"Taken 3 (sometimes stylized as Tak3n) is a 2014 English-language French action-thriller film directed by Olivier Megaton and written by Luc Besson and Robert Mark Kamen. It is the third and final installment in the Taken trilogy. A co-production between France, Spain and the United States, the film stars Liam Neeson, Forest Whitaker, Maggie Grace and Famke Janssen.",Dougray Scott-Famke Janssen-Forest Whitaker-Leland Orser-Liam Neeson-Maggie Grace-Sam Spruell,Taken 3,EuropaCorp films-Films directed by Olivier Megaton-Films scored by Nathaniel Méchaly-Films shot in Georgia (U.S. state)-Films with screenplays by Luc Besson-Films with screenplays by Robert Mark Kamen-French action thriller films-French sequel films-French vigilante films-IMAX films-Spanish action thriller films-Spanish films-TSG Entertainment films-Taken (franchise),na,Olivier Megaton,3.264E8,Olivier Megaton,Russian
23,Waar 2,41305887,Waar 2 is an upcoming Pakistani action-thriller film directed and written by Hassan Rana. It is a sequel to the Bilal Lashari's directed 2013 film Waar. The film stars Shaan Shahid. Filming began in June 2015 in London.,-Agha Haris Durrani-Aleeze Nasser-Ayesha Omer-Bilal Ashraf-Maya Ali-Shaan Shahid,Waar 2,Films directed by Hassan Rana-Films shot in Gilgit-Baltistan-Films shot in London-MindWorks Media films-Pakistani action thriller films-Pakistani films-Pakistani spy thriller films-Unreleased Pakistani films,Hassan Rana,Hassan Rana,na,Hassan Rana,http://dbpedia.org/resource/Urdu
24,Force (film series),52409217,"Force is a series of Indian action-thriller films, produced by Vipul Amrutlal Shah. The first part directed by Nishikant Kamath released in 2011 and the second part directed by Abhinay Deo released in 2016. A third part of the series is in pre-production.",Genelia D'Souza-Sonakshi Sinha-John Abraham (actor)-Raj Babbar-Tahir Raj Bhasin-Vidyut Jamwal,Force series,Action film series-Fox Star Studios films-Hindi-language films-Indian film series-Viacom18 Studios films,Ayananka Bose,Nishikant Kamat,na,Nishikant Kamat,Hindi
25,Absolute Deception,38461562,"Absolute Deception (also known as Deception) is a 2013 Australian/Canadian international co-production action-thriller film directed by Brian Trenchard-Smith and starring Cuba Gooding Jr. and Emmanuelle Vaugier. The film was released on direct-to-DVD in the United States on June 11, 2013.",Cuba Gooding Jr.-Emmanuelle Vaugier,Absolute Deception,2013 action thriller films-2013 direct-to-video films-2013 films-Australian action adventure films-Australian action thriller films-Australian films-Canadian action thriller films-Canadian films-English-language films-Films set in Queensland-Films shot in Australia-Sony Pictures direct-to-video films-Voltage Pictures films,na,Brian Trenchard-Smith,na,Brian Trenchard-Smith,English
26,Jaal: The Trap,18372339,"Jaal: the trap is a 2003 Indian Hindi-language action-thriller film directed by Guddu Dhanoa. It stars Sunny Deol, Tabu, Reema Sen and Anupam Kher. It was released on 18 July 2003.",Anupam Kher-Reema Sen-Sunny Deol-Tabu (actress),Jaal: The Trap,2000s Hindi-language films-2003 action films-2003 films-Films scored by Anand Raj Anand-Films shot in New Zealand-Indian action films-Indian films-Kashmir conflict in films,na,Guddu Dhanoa,na,Guddu Dhanoa,http://dbpedia.org/resource/Hindi
27,Battle Royale (film),304692,"Battle Royale (バトル・ロワイアル, Batoru Rowaiaru) is a 2000 Japanese action-thriller film directed by Kinji Fukasaku, with a screenplay written by Kenta Fukasaku, based on the 1999 novel by Koushun Takami. Starring Tatsuya Fujiwara, Aki Maeda, Tarō Yamamoto, and Takeshi Kitano, the film follows a group of junior high-school students that are forced to fight to the death by the Japanese totalitarian government. The film drew controversy, and was banned or excluded from distribution in several countries; Toei Company refused to sell the film to any United States distributor for over a decade due to concerns about potential controversy and lawsuits, until Anchor Bay Entertainment eventually acquired the film in 2010 for a direct-to-video release.",-Aki Maeda-Chiaki Kuriyama-Kou Shibasaki-Masanobu Andō-Takeshi Kitano-Tarō Yamamoto-Tatsuya Fujiwara,Battle Royale Original Soundtrack,2000 action thriller films-2000 films-2000s dystopian films-Battle Royale (franchise)-Battle royale-Films about death games-Films based on Japanese novels-Films based on science fiction novels-Films based on thriller novels-Films directed by Kinji Fukasaku-Films scored by Masamichi Amano-Films set on fictional islands-Films set on uninhabited islands-Films shot in Tokyo-Girls with guns films-Japanese-language films-Japanese action thriller films-Japanese films-Obscenity controversies in film-Splatter films-Toei Company films,Katsumi Yanagishima,Kinji Fukasaku,3.06E7,Kinji Fukasaku,Japanese
28,A Good Day to Die Hard,34228306,"A Good Day to Die Hard is a 2013 American action-thriller film and the fifth installment in the Die Hard film series. The film was directed by John Moore and written by Skip Woods, and stars Bruce Willis as John McClane. The main plot finds McClane travelling to Russia to get his estranged son, Jack, an undercover CIA agent, out of prison. He is soon caught in the crossfire of a global terrorist plot. Alongside Willis, the film also stars Jai Courtney, Cole Hauser, Yulia Snigir and Sebastian Koch.",-Amaury Nolasco-Bruce Willis-Cole Hauser-Jai Courtney-Rasha Bukvić-Sebastian Koch-Sergei Kolesnikov-Yulia Snigir,A Good Day to Die Hard,"2013 action thriller films-2013 films-20th Century Fox films-American action thriller films-American films-American sequel films-Die Hard-English-language films-Films about families-Films about nuclear war and weapons-Films about terrorism in Europe-Films about the Central Intelligence Agency-Films directed by John Moore-Films produced by Wyck Godfrey-Films scored by Marco Beltrami-Films set in Moscow-Films set in New York City-Films set in Ukraine-Films set in Washington, D.C.-Films shot in Belgrade-Films shot in Budapest-Films with screenplays by Skip Woods-IMAX films-Russian-language films-TSG Entertainment films",Jonathan Sela,John Moore (director),3.047E8,John Moore (director),Russian
